,Insulate hot water cylinder with 80 mm jacket,Increase hot water cylinder insulation,Add additional 80 mm jacket to hot water cylinder,Hot water cylinder thermostat,Increase loft insulation to 270 mm,Cavity wall insulation,50 mm internal or external wall insulation,Replace single glazed windows with low-E double glazing,Secondary glazing to single glazed windows,Draughtproof single-glazed windows,Upgrade heating controls,Time and temperature zone control,Solar water heating,Replace boiler with new condensing boiler,Replace boiler with biomass boiler,Wood pellet stove with boiler and radiators,Fan assisted storage heaters and dual immersion cylinder,Fan assisted storage heaters,Replacement warm air unit,Change heating to gas condensing boiler,Condensing oil boiler with radiators,Fan-assisted storage heaters,"Solar photovoltaic panels, 2.5 kWp",Low energy lighting for all fixed outlets,Replace heating unit with condensing unit,Install condensing boiler,Change room heaters to condensing boiler,Wind turbine,Flat roof insulation,Room-in-roof insulation,Floor insulation,High performance external doors,Heat recovery system for mixer showers,Flue gas heat recovery device in conjunction with boiler,Replacement glazing units,Suspended floor insulation,Solid floor insulation,High heat retention storage heaters and dual immersion cylinder,High heat retention storage heaters,Party wall insulation
windows_description_single glazing,0.0,0.0,0.0,0.0,0.0,0.0,0.0017895662,0.0078868605,0.0017363083,5.6326844e-05,0.0010948585,0.0021297683,0.008093016,0.0,0.0,0.0,0.00049277156,0.0,0.00019849266,0.0,0.0,0.0,0.0,0.0008905767,0.0063933795,0.0,0.0,0.0,0.0,5.7957226e-07,0.04912268,0.023939371,0.17779878,0.00025029093,0.00083109207,0.0,0.0,0.00029645333,0.0,0.0
windows_description_some double glazing,0.0,0.0,0.0,9.235289e-06,0.0,0.0,0.0,0.0,0.0006102084,0.0,0.0025354552,0.0036856367,0.0,0.0001926593,0.0,0.0,0.00019149522,0.0,0.0,0.0,0.0,0.0,0.0,0.00038541472,0.0,0.0,0.0,0.0,0.0,0.0,0.01776368,0.00046684197,0.012414492,0.0,0.0007577052,0.00011805898,3.4797715e-06,0.0,0.0,0.001229489
"mainheat_description_Air source heat pump, radiators, electric",0.022953717,0.0043215165,0.0,0.000691068,0.0,0.004080008,0.0,0.029632555,0.007258007,0.0,0.0,0.0,0.0020575218,0.0,0.0,0.0,0.0,4.1183688e-05,0.0,0.0,0.0075991354,0.0,0.0,0.0,0.0,0.0,0.0,2.8112888e-06,0.052629136,0.0010599269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024292455,0.0016247786
"mainheat_description_Air source heat pump, underfloor, electric",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095869333,0.0,0.0,0.0,0.0,0.00019399615,0.0,0.0,0.0,0.0028647082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027949148,0.0,0.0,0.0,0.0,0.0002407795,0.0,0.0,0.0,0.00063235895,0.0,0.0
"mainheat_description_Boiler and radiators, LPG",0.0,0.0,0.0,0.0,2.8527009e-05,0.0,0.0022537725,0.0015578876,0.015999893,0.0,0.00048803719,0.0,0.0014544583,0.0,0.0,0.00044893174,0.0,0.0,0.0,0.0,0.00046610486,0.0,0.0,0.0,0.0,0.0,0.0005934995,0.0,0.0,0.0014710156,0.0,0.0,0.0,0.0,0.0,0.0,0.00081339054,0.0,0.00052006514,0.0
"mainheat_description_Boiler and radiators, coal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006747163,0.0,0.00069857104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020553588,0.0,0.0,0.0,0.030304372,0.047434278,0.0,0.0,0.0,0.0010168813,0.0,0.0,0.0,0.0,0.0,0.0,0.00021161597,0.0013043985,0.0,0.004238862
"mainheat_description_Boiler and radiators, dual fuel (mineral and wood)",0.0,0.0,0.0,0.0,0.0,0.00028946745,0.0,0.00028874428,0.0023691664,0.0,0.0013259198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00069390313,0.0,0.0,0.0004528514,0.0,0.0,0.0,0.0,0.0,0.0,0.00015398157,0.00079617836,0.0,0.004221582
"mainheat_description_Boiler and radiators, electric",0.00095447537,0.027286636,0.0,0.0,0.0,0.0,0.0,0.021628914,0.015180278,0.0,0.00026621285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040156487,0.0,0.0,0.0,0.0,0.0,0.0010744742,0.0,0.0,0.00020941503,0.0018143468,0.014623046,0.0006552304,0.0,0.0,0.0023527043,0.0010680717,0.0025850367,0.00081941334,0.0006671667
"mainheat_description_Boiler and radiators, mains gas",0.0,0.0,0.0,0.00058392505,0.0006120047,0.0017082853,0.00038855933,0.008723359,0.047054105,0.0,0.008127411,0.0028951084,0.0036006186,0.0,0.05863889,0.0,0.003853888,0.00020753895,0.0,0.0,0.03659359,0.018318435,0.0,0.0,0.0,0.0,0.040751502,0.0004441022,0.020454712,0.0553046,0.002746191,0.0,0.0012565845,0.0007205469,0.0,0.007125001,0.023468249,0.017710691,0.010508705,0.12640558
"mainheat_description_Boiler and radiators, oil",0.00026307238,0.0,0.0,0.00016749387,0.0,0.0,0.0,0.0,0.014148412,0.0,0.0038543066,0.0022067649,0.012528084,0.0,0.010104337,0.00037410978,0.0,0.0,0.0,0.0,0.005761356,0.0,0.0,0.0,0.0,0.0,0.0053771907,0.0,0.0017726861,0.0056455643,0.0007913577,0.002162444,0.0011875402,0.0,0.0,0.00012867541,0.002071246,0.0,0.0006145551,0.0
"mainheat_description_Boiler and underfloor heating, mains gas",0.005711092,0.0,0.0,0.0,0.0,0.0,0.0,3.395431e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000106582134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007495516,0.0005856488,0.036325086,0.000718759,0.0,0.0,0.00013445185,0.00020996043,0.0014221014,0.0,9.381527e-05,0.0,0.0,0.0
mainheat_description_Community scheme,0.0050039776,0.0,0.0,0.00083736953,0.0,0.0,0.0,0.0048541403,0.0,0.0,0.0,0.016814837,0.0,0.0,0.0,0.0,0.0,0.000319345,0.0,0.0,0.03108874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004893609,0.0,0.0,0.0,0.0,0.0026297588,0.004883427,0.0,0.0,0.0030417263,0.012973664
mainheat_description_Community scheme with CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mainheat_description_Electric storage heaters,0.0,0.024388123,6.9028665e-06,0.00017403954,0.0,0.0,0.0,0.04001588,0.0,0.0,0.00075820583,0.0,0.00012882495,0.0,0.0,0.0,0.0025279634,0.0,0.0,0.0,0.00816185,0.0,0.16013323,0.013621192,0.0,0.0,0.0,0.0,0.0,0.0,0.0027147043,0.020718891,0.0,0.0,0.00012708419,0.008117565,0.00011077675,0.0,0.0026593688,0.005061689
mainheat_description_No system present: electric heaters assumed,0.0,0.002012045,1.2231342e-05,3.196086e-05,0.0,0.0072753318,0.012182353,0.0,0.0033090324,0.0,0.0100877825,0.00066014007,9.767085e-05,0.0,0.0,0.0,0.0033927045,0.0,0.0,0.0,0.18021081,0.0,0.0,0.0047068796,0.0,0.0,0.0,8.064406e-06,0.0,0.0,0.003517583,0.0,0.0,8.106954e-05,0.0,0.0017398683,0.0,0.005221645,0.0074885343,0.0
mainheat_description_Portable electric heaters assumed for most rooms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005149461,0.0,0.0011467516,0.0,0.0,0.100049734,0.0,0.0,0.0015242297,0.0,0.0024487346,0.0,1.4670567e-05,0.0,0.0,0.00014436456,0.00047076042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004480635
