,Insulate hot water cylinder with 80 mm jacket,Increase hot water cylinder insulation,Add additional 80 mm jacket to hot water cylinder,Hot water cylinder thermostat,Increase loft insulation to 270 mm,Cavity wall insulation,50 mm internal or external wall insulation,Replace single glazed windows with low-E double glazing,Secondary glazing to single glazed windows,Draughtproof single-glazed windows,Upgrade heating controls,Time and temperature zone control,Solar water heating,Replace boiler with new condensing boiler,Replace boiler with biomass boiler,Wood pellet stove with boiler and radiators,Fan assisted storage heaters and dual immersion cylinder,Fan assisted storage heaters,Replacement warm air unit,Change heating to gas condensing boiler,Condensing oil boiler with radiators,Fan-assisted storage heaters,"Solar photovoltaic panels, 2.5 kWp",Low energy lighting for all fixed outlets,Replace heating unit with condensing unit,Install condensing boiler,Change room heaters to condensing boiler,Wind turbine,Flat roof insulation,Room-in-roof insulation,Floor insulation,High performance external doors,Heat recovery system for mixer showers,Flue gas heat recovery device in conjunction with boiler,Replacement glazing units,Suspended floor insulation,Solid floor insulation,High heat retention storage heaters and dual immersion cylinder,High heat retention storage heaters,Party wall insulation
"mainheatcont_description_Charging system linked to use of community heating, programmer and TRVs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050757546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028563358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mainheatcont_description_Controls for high heat retention storage heaters,0.0,0.026209777,0.02899302,0.0,6.8192494e-05,0.038138404,0.0,0.003518366,0.0010029543,0.0,0.0017178127,0.00028928957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010601822,0.0,0.00011786622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011592593,0.0,0.0,0.0,0.0,0.0,0.0
"mainheatcont_description_Flat rate charging, TRVs",0.0,0.0,0.0,0.0,0.0008350718,0.00030356634,0.0,0.003110055,0.0,0.0,0.0,0.0002859595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006413273,0.00014308472,0.0,0.0010160742,0.0,0.0,3.620949e-05,0.00027516845,0.003435482
"mainheatcont_description_Flat rate charging, no stat control of room temperature",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00054527016,0.0
"mainheatcont_description_Flat rate charging, no thermostatic control of room temperature",0.0,0.0,0.0,0.0,0.0,0.00020030058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017291054,0.0,0.0,0.0,0.0,7.456659e-06,2.2885939e-05,0.0048756883,0.008542328
"mainheatcont_description_Flat rate charging, programmer and TRVs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006300973,0.0,0.0005801975,0.0069413814,0.00074472313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013289112,0.0,0.0,0.00035239852,0.0,0.0,0.0011797732,0.01003935,5.7104302e-05
"mainheatcont_description_Flat rate charging, programmer and room thermostat",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012141756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2165044e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012073754,0.0,0.0,0.00030167488,0.0,0.0
"mainheatcont_description_Flat rate charging, programmer, no room thermostat",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008460233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026279888,0.0055327984,0.0
"mainheatcont_description_Flat rate charging, room thermostat only",0.0,0.0,0.0,0.0,0.0,0.0006001157,0.0,0.0008635956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9970473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005425468,0.00048087267,0.0019634734
mainheatcont_description_Manual charge control,0.009671897,0.049658537,0.025806285,0.0,0.0007894577,0.0,0.0,0.0069311797,0.0,0.00043313444,0.0,0.0,0.0,0.0,0.0,0.0,0.00017493803,0.0,0.0,0.0,0.0015179019,0.0,0.12350959,0.001397531,0.0,0.0,2.1973776e-06,0.0,0.0,0.0,0.0,0.001412099,9.1199385e-05,4.8489637e-05,0.0007217203,0.00010776399,0.00026199923,0.016701503,0.00013328656,0.002728565
